sentence,question,correct answer,chatgpt answer,evaluation
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek nincs kedve játszani.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vili nincs kedve Annával játszani.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek nincs kedve játszani Annával.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek nincs kedve játszani.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek nincs kedve játszani Annával.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,A mondat alapján Vilinek nincs kedve játszani Annával.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek nincs kedve játszani Annával.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek nincs kedve játszani Annával.,r
"Vili szeretne Annával játszani, de nincs kedve hozzá.",Kinek nincs kedve hozzá? Vilinek vagy Annának?,Annának,Vilinek nincs kedve játszani Annával.,r
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,"A mondat a diák „éppen a tanárt nem értette”, tehát a diáknak volt nehézsége a tanár akcentusával.",n
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,"A mondat szerint a tanárnak volt akcentusa, amiért a diák nem értette őt.",j
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,A diáknak volt nehézsége a tanár akcentusával.,j
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,"A mondat alapján azt kell feltételezni, hogy a diáknak volt nehézsége a tanár akcentusának megértésével.",n
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,"A mondat szerint a diák nem értette a tanárt, mert az tanárnak volt akcentusa.",j
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,A mondat szerint a tanárnak volt akcentusa.,j
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,"A mondat szerint a diáknak volt akcentusa, ami miatt nem értette a tanárt.",r
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,"A mondat szerint a diák nem értette a tanárt, mivel aznak volt akcentusa. Tehát a tanárnak volt akcentusa.",j
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,A tanárnak volt akcentusa.,j
"A diák nem értette a tanárt, mert akcentusa volt.",Kinek volt akcentusa? a diáknak vagy a tanárnak?,a tanárnak,A mondat szerint a tanárnak volt akcentusa.,j
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,"A megadott mondat szerint a kampuszon belüli lakások voltak drágábbak, mint a kampuszon kívüli lakások.",j
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,"A mondatban az szerepel, hogy ""a kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak"". Tehát az ""azok"" itt a kampuszon belüli lakásokra utal, így azok voltak drágábbak.",j
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,"A mondat azt állítja, hogy a kampuszon kívüli lakások voltak drágábbak, mint a kampuszon belüli lakások.",r
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,"A mondat szerint a kampuszon kívüli lakások voltak drágábbak, mint a kampuszon belüliek.",r
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,"A beírt mondat tévesen fogalmazza meg azt a tényt, hogy a kampuszon kívüli lakások voltak drágábbak. A helyes megfogalmazás szerint a kampuszon belüli lakások voltak a drágábbak.",n
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,A kampuszon kívüli lakások voltak drágábbak.,r
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,"A kijelentés alapján a kampuszon kívüli lakások voltak drágábbak, ezért azokat jobban szerették.",r
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,A kampuszon belüli lakások voltak drágábbak.,j
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,A mondat szerint a kampuszon kívüli lakások voltak drágábbak.,r
"A kampuszon kívüli lakásokat jobban szerették, mint a kampuszon belülieket, mert azok drágábbak voltak.",Mik voltak drágábbak? a kampuszon kívüli lakások vagy a kampuszon belüli lakások?,a kampuszon belüli lakások,"Az adott mondatban nem állítják egyértelműen, hogy melyik volt drágább: a kampuszon kívüli lakások, vagy a kampuszon belüli lakások. Csak azt mondják, hogy ""azok drágábbak voltak"", de nem határozzák meg, hogy mire vonatkozik az ""azok"" szó. Tehát a kérdésre nincs egyértelmű válasz a mondatból kiindulva.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,A kijelentés szerint a Liverpool irányított rosszul az egész szezonban a Manchester United ellen.,j
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,"A megadott információ alapján nem lehet megállapítani, hogy a Liverpool vagy a Manchester United volt az, amelyik rosszul irányított az egész szezonban.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,"A szöveg nem ad információt arról, hogy pontosan melyik csapat irányított rosszul az egész szezonban.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,"A megadott információk alapján nem egyértelmű, hogy melyik csapat irányított rosszul az egész szezonban.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,"A kérdés alapján a határozott válasz nem adható meg, mert nem szerepel információ arról, hogy mely csapat irányított rosszul az egész szezonban. A Liverpool és a Manchester United egyaránt lehetőséget kapott a rossz irányításra a meccsen, de anélkül, hogy további adatokat tudnánk, nem lehet egyértelműen kijelenteni, hogy melyik csapat irányított rosszul egész szezonban.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,"A kérdésed alapján azt feltételezhetjük, hogy a Liverpool kapott ki a Manchester Unitedtől, tehát a Liverpool irányított rosszul az adott mérkőzésen. Azonban az egész szezonra való utalásod alapján azt nem lehet következtetni, hogy a Liverpool egész szezonban rosszul irányított, vagyis nem tudjuk megmondani, hogy az egész szezonban a Liverpool vagy a Manchester United irányított rosszul. Ehhez részletesebb ismeretekre lenne szükségünk az adott szezonra vonatkozóan.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,"Azt, hogy ki irányított rosszul az egész szezonban, nem lehet egyértelműen megmondani ebből az állításból. A Liverpool és a Manchester United közötti mérkőzésen a Liverpool kapott ki, de ez nem feltétlenül jelenti azt, hogy az egész szezonban rosszul irányítottak. Mindkét csapatnak saját menedzsere és edzői stábja van, akik felelősek a csapat irányításáért. Ezt az állítást további információk nélkül nem lehet konkrétan megítélni.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,A fenti információ alapján a Liverpool irányított rosszul az egész szezonban.,j
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,"Az adott információk alapján nem derül ki, hogy melyik csapat irányított rosszul az egész szezonban.",n
"A Liverpool azért kapott ki a Manchester Unitedtől, mert az egész szezonban rosszul irányítottak.",Kik irányítottak rosszul az egész szezonban? a Liverpool vagy a Manchester United?,a Liverpool,A kérdés szerint a Liverpool irányított rosszul az egész szezonban.,j
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,"A kékek voltak a kezdő csapat, mivel azt írják, hogy ""a pirosak megverték a kékeket, pedig kezdő csapat voltak"".",r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,Az állítás szerint a kékek kezdő csapat voltak.,r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,A kékek voltak a kezdő csapat.,r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,A kezdő csapat a kékek voltak.,r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,A kezdő csapat a kékek voltak.,r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,"A kékek voltak a kezdő csapat, mert a kérdés szerint ""a pirosak megverték a kékeket, pedig kezdő csapat voltak"".",r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,A kékek voltak a kezdő csapat.,r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,A pirosak voltak a kezdő csapat.,j
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,"A kezdő csapat a kékek voltak, mivel a mondatban ""A pirosak megverték a kékeket"" áll, ami azt jelenti, hogy a pirosak nyertek a kékek ellen.",r
"A pirosak megverték a kékeket, pedig kezdő csapat voltak.",Kik voltak kezdő csapat? a pirosak vagy a kékek?,a pirosak,"A kékek voltak kezdő csapat, mivel a mondatban kifejezetten azt említik, hogy ""a pirosak megverték a kékeket"".",r
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,"Az erős izom a szív. A szív az emberi test egyik legfontosabb izma, amely a vér pumpálásáért felelős az egész testben.",j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,A szív egy erős izom.,j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,"A szív egy erős izom. A szívizom összehúzódásával a szív pumpálja a vért a testünkbe. A vér viszont egy folyadék, ami áramlik a szívükből a testünk többi részébe.",j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,A szív egy erős izom.,j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,"A szív egy erős izom, mely a vér pumpálását végzi az egész testben. A vér pedig egy folyékony közege, melyet a szív mozgat és szállít a testünk többi részéhez.",j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,"A szív egy erős izom. A vér nem egy erős izom, hanem egy folyékony szövet, amelyet a szív pumpál ki az ereken keresztül a test többi részébe.",j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,"A szív az erős izom. A szív egy speciális izom, ami képes arra, hogy erőteljesen összehúzódjon és pumpálja a vért a testünkben. A vér pedig az anyag, amit a szív pumpál és a testünk minden részéhez szállít.",j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,"Az erős izom a szív izomzata, amely felelős a vér pumpálásáért a test egészében. A vér önmagában nem egy erős izom, hanem a szív által pumpált folyadék.",j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,"A szív az, amely egy erős izom, és pumpálja a vért a testünkben.",j
"A szív pumpálja a vért, mert egy erős izom.",Mi egy erős izom? a szív vagy a vér?,a szív,A szív egy erős izom.,j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,"A kard csak szúrni tud és nem képes vágó mozdulatokra, míg a toll nem tud sem szúrni, sem vágó mozdulatokat végrehajtani.",j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,"A kard tud csak szúrni. A toll nem tud szúrni, ezért ez a mondat téves információt tartalmaz.",j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,A kard tud csak szúrni.,j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,A kard tud csak szúrni.,j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,"A kard képes mind vágni, mind szúrni, míg a toll csak szúrni tud. Tehát a toll tud csak szúrni, nem a kard.",j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,A kard tud mind szúrni mind vágni.,j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,"A kérdésben feltett állítás téves. Egy kard nem csak hogy tud szúrni, de vágásokat és döféseket is lehet vele végrehajtani. Ezenkívül a kardoknak általában erősebbek a pengéi, mint a tollakban lévő tűknek, így jobban alkalmasak a harci célokra. Tehát a kard erősebb a tűvel rendelkező tollnál.",r
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,A kard.,j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,"A kard tud csak szúrni, mivel az egy szúrófegyver, míg a toll nem rendelkezik ilyen képességgel.",j
"A toll erősebb a kardnál, mert csak szúrni tud.",Mi tud csak szúrni? a toll vagy a kard?,a kard,"A kard tud csak szúrni. A toll nem tud szúrni, csak azzal lehet írni.",j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,"A macskák váltak elvadult állatokká, és ezért támadtak az emberekre.",j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,"A mondatban azt állítják, hogy a macskák elvadtak. Tehát a macskák váltak vadakká és támadtak az emberekre.",j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,A mondat alapján a macskák vadultak el.,j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,A mondat szerint a macskák váltak vadakká vagy elvadultak és emiatt támadtak az emberekre.,j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,"A mondatban szereplő ""elvadultak"" kifejezés alapján arra lehet következtetni, hogy a macskák vadultak el.",j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,"A megfogalmazás szerint a macskák váltak elvadulttá, ezért azok az elvadult macskák támadtak az emberekre.",j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,A macskák vadultak el.,j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,"A mondat értelme szerint a macskák váltak vadakká és támadtak az emberekre. Tehát a macskák váltak elvadulva, nem az emberek.",j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,"A mondat helyes értelmezése alapján a macskák váltak elvadulttá, és ők támadtak az emberekre.",j
"A macskák azért támadtak az emberekre, mert elvadultak.",Kik vadultak el? a macskák vagy az emberek?,a macskák,"A mondat értelmezése szerint a macskák váltak elvadultá, és ők támadtak az emberekre.",j
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,"A mondat értelme alapján azt lehetne gondolni, hogy az embereknek volt halszaguk.",j
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,"A mondat alapján arra lehet következtetni, hogy a macskáknak volt halszaguk. A macskák azért támadtak az emberekre, mert érzékelték a halszagot a bőrükön vagy ruházatukon. Az emberek halszagúak lehetnek, ami eredhet az érintkezésből vagy például a haltermékek fogyasztásából.",r
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,"A mondatban azt állítják, hogy a macskáknak volt halszaguk, amiért támadtak az emberekre.",r
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,A mondat szerint a macskáknak volt halszaguk.,r
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,A kérdés alapján a macskáknak volt halszaguk.,r
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,"Az embereknek volt halszaguk, és emiatt a macskák támadtak rájuk.",j
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,"Az embereknek volt halszaguk, ami miatt a macskák támadtak rájuk.",j
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,"A kérdésből nem derül ki pontosan, hogy az embereknek vagy a macskáknak volt halszaguk. Azonban ha az emberek hordtak magukon vagy cipőjükön halmaradványokat vagy halillatú dolgokat, akkor könnyen lehet, hogy a macskák az emberekre támadtak emiatt a halszag miatt. A válasz tehát függ attól, hogy melyik félnek volt halszaguk.",n
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,"A mondattal kapcsolatosan én azt a következtetést vonnám le, hogy a macskáknak volt halszaguk.",r
"A macskák azért támadtak az emberekre, mert halszaguk volt.",Kiknek volt halszaguk? a macskáknak vagy az embereknek?,az embereknek,A macskáknak volt halszaguk.,r
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"Az adott mondatban az a mondanivaló, hogy Géza a kisgyerek, míg Tomi ezért képes megverni őt a szkanderben.",j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"A mondat szerint Géza a kisgyerek, mert az állítás arról szól, hogy ""Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.""",j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"Géza a kisgyerek, mert Tomi képes lenne legyőzni őt a szkanderben.",j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"A mondat azt állítja, hogy Géza a kisgyerek, és Tomi meg tudja verni őt szkanderben.",j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"Géza a kisgyerek, mert a mondat szerint még csak ő egy kisgyerek.",j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"A mondat szerint Géza a kisgyerek, míg Tomi állítólag meg tudja verni őt szkanderben.",j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"Géza a kisgyerek, mert Tomi képes lenne megverni őt szkanderben.",j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,Az állítás szerint Géza a kisgyerek és Tomi képes lenne legyőzni őt szkanderben.,j
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"Az információ hiányos ahhoz, hogy meghatározzuk, ki a kisgyerek.",n
"Tomi meg tudja verni Gézát szkanderben, mert még csak egy kisgyerek.",Ki kisgyerek? Tomi vagy Géza?,Géza,"Géza lenne a kisgyerek, mert a mondatban az áll, hogy ""még csak egy kisgyerek"".",j
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Donát nem sírt.,r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Ambrus nem sírt.,j
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Donát.,r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Donát nem sírt.,r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Donát nem sírt.,r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Donát nem sírt.,r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Donát nem sírt.,r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,"Donát sírt, mert a megfogástól megrúgta Ambrust.",r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Donát nem sírt.,r
"Donát megrúgta Ambrust, de nem sírt.",Ki nem sírt? Donát vagy Ambrus?,Ambrus,Ambrus nem sírt.,j
"Pisti azért találkozott Rolival, mert megkérték rá.",Kit kértek meg rá? Pistit vagy Rolit?,Pistit,"Pistit kértek meg arra, hogy találkozzon Rolival.",j
